//<name> <group> <damage> <foundation> <background>
CaveBG01 CaveBG 0 0 true
CaveBG02 CaveBG 0 0 true
CaveBG03 CaveBG 0 0 true
CaveBG04 CaveBG 0 0 true
CaveBG05 CaveBG 0 0 true
CaveBG06 CaveBG 0 0 true
CaveBG07 CaveBG 0 0 true
CaveBG08 CaveBG 0 0 true
CaveBG09 CaveBG 0 0 true
CaveBG10 CaveBG 0 0 true
CaveBG11 CaveBG 0 0 true
CaveBG12 CaveBG 0 0 true
CaveBG13 CaveBG 0 0 true
CaveBG14 CaveBG 0 0 true
CaveBG15 CaveBG 0 0 true
CaveBG16 CaveBG 0 0 true
CaveBG17 CaveBG 0 0 true
CaveBG18 CaveBG 0 0 true
CaveBG19 CaveBG 0 0 true
CaveBG20 CaveBG 0 0 true
CaveBG21 CaveBG 0 0 true
CaveBG22 CaveBG 0 0 true
CaveBG23 CaveBG 0 0 true
CaveBG24 CaveBG 0 0 true
CaveBG25 CaveBG 0 0 true
CaveBG26 CaveBG 0 0 true
CaveBG27 CaveBG 0 0 true
CaveBG28 CaveBG 0 0 true
CaveBG29 CaveBG 0 0 true
CaveBG30 CaveBG 0 0 true
CaveBG31 CaveBG 0 0 true
CaveBG32 CaveBG 0 0 true
CaveBG33 CaveBG 0 0 true
CaveBG34 CaveBG 0 0 true
CaveBG35 CaveBG 0 0 true
CaveBG36 CaveBG 0 0 true
CaveBG37 CaveBG 0 0 true
CaveBG38 CaveBG 0 0 true
CaveBG39 CaveBG 0 0 true
CaveBG40 CaveBG 0 0 true
CaveBG41 CaveBG 0 0 true
CaveBG42 CaveBG 0 0 true
CaveBG43 CaveBG 0 0 true
CaveBG44 CaveBG 0 0 true
CaveBG45 CaveBG 0 0 true
CaveBG46 CaveBG 0 0 true
CaveBG47 CaveBG 0 0 true
CaveBG48 CaveBG 0 0 true
CaveBG49 CaveBG 0 0 true
CaveBG50 CaveBG 0 0 true
CaveBG51 CaveBG 0 0 true
CaveBG52 CaveBG 0 0 true
CaveBG53 CaveBG 0 0 true
CaveBG54 CaveBG 0 0 true
CaveBG55 CaveBG 0 0 true
CaveBG56 CaveBG 0 0 true
CaveBG57 CaveBG 0 0 true
CaveBG58 CaveBG 0 0 true
CaveBG59 CaveBG 0 0 true
CaveBG60 CaveBG 0 0 true
CaveColBot Cave 0 0 true
CaveColMid Cave 0 0 true
CaveColTop Cave 0 0 true
CaveMushroom1 Cave 0 0 true
CaveMushroom2 Cave 0 0 true
CaveStone1 Cave 0 0 true
CaveStone2 Cave 0 0 true
CaveStone3 Cave 0 0 true
Caveworm Cave 0 0 true
Dirt1 Dirt 0 0 0
Dirt2 Dirt 0 0 0
Dirt3 Dirt 0 0 0
Dirt4 Dirt 0 0 0
Dirt5 Dirt 0 0 0
Dirt6 Dirt 0 0 0
Dirt7 Dirt 0 0 0
Dirt8 Dirt 0 0 0
Dirt9 Dirt 0 0 0
Dirt10 Dirt 0 0 0
Dirt11 Dirt 0 0 0
Dirt12 Dirt 0 0 0
Dirt13 Dirt 0 0 0
Dirt14 Dirt 0 0 0
Dirt15 Dirt 0 0 0
Dirt16 Dirt 0 0 0
Dirt17 Dirt 0 0 0
Dirt18 Dirt 0 0 0
Dirt19 Dirt 0 0 0
Dirt20 Dirt 0 0 0
Dirt21 Dirt 0 0 0
Dirt22 Dirt 0 0 0
Dirt23 Dirt 0 0 0
Dirt24 Dirt 0 0 0
Dirt25 Dirt 0 0 0
Dirt26 Dirt 0 0 0
Dirt27 Dirt 0 0 0
Dirt28 Dirt 0 0 0
Dirt29 Dirt 0 0 0
Dirt30 Dirt 0 0 0
Dirt31 Dirt 0 0 0
Dirt32 Dirt 0 0 0
Dirt33 Dirt 0 0 0
Dirt34 Dirt 0 0 0
Dirt35 Dirt 0 0 0
Dirt36 Dirt 0 0 0
Dirt37 Dirt 0 0 0
Dirt38 Dirt 0 0 0
Dirt39 Dirt 0 0 0
Dirt40 Dirt 0 0 0
Dirt41 Dirt 0 0 0
Dirt42 Dirt 0 0 0
Dirt43 Dirt 0 0 0
Dirt44 Dirt 0 0 0
Dirt45 Dirt 0 0 0
Dirt46 Dirt 0 0 0
Dirt47 Dirt 0 0 0
Dirt48 Dirt 0 0 0
Dirt49 Dirt 0 0 0
Dirt50 Dirt 0 0 0
Dirt51 Dirt 0 0 0
Dirt52 Dirt 0 0 0
Dirt53 Dirt 0 0 0
Dirt54 Dirt 0 0 0
Dirt55 Dirt 0 0 0
Dirt56 Dirt 0 0 0
Dirt57 Dirt 0 0 0
Dirt58 Dirt 0 0 0
Dirt59 Dirt 0 0 0
Dirt60 Dirt 0 0 0
DirtAccent1 DirtAccent 0 0 0
DirtAccent2 DirtAccent 0 0 0
DirtAccent3 DirtAccent 0 0 0
DirtAccent4 DirtAccent 0 0 0
DirtAccent5 DirtAccent 0 0 0
DirtAccent6 DirtAccent 0 0 0
DirtAccent7 DirtAccent 0 0 0
DirtAccent8 DirtAccent 0 0 0
DirtAccent9 DirtAccent 0 0 0
DirtAccent10 DirtAccent 0 0 0
DungeonCrack1 DungeonCrack 0 0 true
DungeonCrack2 DungeonCrack 0 0 true
DungeonCrack3 DungeonCrack 0 0 true
DungeonCrack4 DungeonCrack 0 0 true
DungeonCrack5 DungeonCrack 0 0 true
Grass1 Grass 0 0 0
Grass2 Grass 0 0 0
Grass3 Grass 0 0 0
Grass4 Grass 0 0 0
Grass5 Grass 0 0 0
Grass6 Grass 0 0 0
Grass7 Grass 0 0 0
Grass8 Grass 0 0 0
Grass9 Grass 0 0 0
Grass10 Grass 0 0 0
Mud1 Mud 0 0 0
Mud2 Mud 0 0 0
Mud3 Mud 0 0 0
Mud4 Mud 0 0 0
Mud5 Mud 0 0 0
Mud6 Mud 0 0 0
Mud7 Mud 0 0 0
Mud8 Mud 0 0 0
Mud9 Mud 0 0 0
Mud10 Mud 0 0 0
Sand1 Sand 0 0 0
Sand2 Sand 0 0 0
Sand3 Sand 0 0 0
Sand4 Sand 0 0 0
Sand5 Sand 0 0 0
Sand6 Sand 0 0 0
Sand7 Sand 0 0 0
Sand8 Sand 0 0 0
Sand9 Sand 0 0 0
Sand10 Sand 0 0 0
Stone1 Stone 0 0 0
Stone2 Stone 0 0 0
Stone3 Stone 0 0 0
Stone4 Stone 0 0 0
Stone5 Stone 0 0 0
Stone6 Stone 0 0 0
Stone7 Stone 0 0 0
Stone8 Stone 0 0 0
Stone9 Stone 0 0 0
Stone10 Stone 0 0 0
Stone11 Stone 0 0 0
Stone12 Stone 0 0 0
Stone13 Stone 0 0 0
Stone14 Stone 0 0 0
Stone15 Stone 0 0 0
Stone16 Stone 0 0 0
Stone17 Stone 0 0 0
Stone18 Stone 0 0 0
Stone19 Stone 0 0 0
Stone20 Stone 0 0 0
Stone21 Stone 0 0 0
Stone22 Stone 0 0 0
Stone23 Stone 0 0 0
Stone24 Stone 0 0 0
Stone25 Stone 0 0 0
Stone26 Stone 0 0 0
Stone27 Stone 0 0 0
Stone28 Stone 0 0 0
Stone29 Stone 0 0 0
Stone30 Stone 0 0 0
Stone31 Stone 0 0 0
Stone32 Stone 0 0 0
Stone33 Stone 0 0 0
Stone34 Stone 0 0 0
Stone35 Stone 0 0 0
Stone36 Stone 0 0 0
Stone37 Stone 0 0 0
Stone38 Stone 0 0 0
Stone39 Stone 0 0 0
Stone40 Stone 0 0 0
Stone41 Stone 0 0 0
Stone42 Stone 0 0 0
Stone43 Stone 0 0 0
Stone44 Stone 0 0 0
Stone45 Stone 0 0 0
Stone46 Stone 0 0 0
Stone47 Stone 0 0 0
Stone48 Stone 0 0 0
Stone49 Stone 0 0 0
Stone50 Stone 0 0 0
Stone51 Stone 0 0 0
Stone52 Stone 0 0 0
Stone53 Stone 0 0 0
Stone54 Stone 0 0 0
Stone55 Stone 0 0 0
Stone56 Stone 0 0 0
Stone57 Stone 0 0 0
Stone58 Stone 0 0 0
Stone59 Stone 0 0 0
Stone60 Stone 0 0 0
StoneAccent1 StoneAccent 0 0 0
StoneAccent2 StoneAccent 0 0 0
